donor_id,area_id,full_name,blood_group,age,gender,phone,is_available,registered_on
1,3,Hira Khan,O-,35,Female,03114744854,1,2024-09-13
2,4,Farah Butt,B+,20,Female,03002571945,1,2025-01-25
3,4,Raheel Qureshi,O-,59,Male,03458038374,1,2025-09-03
4,6,Hamza Rehman,B+,35,Male,03034612365,1,2024-09-13
5,9,Luqman Mirza,A-,34,Male,03008707870,0,2024-10-06
6,10,Bilal Shah,A+,58,Male,03467067228,1,2024-12-14
7,2,Usman Ansari,AB-,36,Male,03014905582,1,2025-06-25
8,12,Shazia Malik,B+,40,Female,03115479144,1,2026-03-26
9,7,Layla Shah,O-,33,Female,03038755439,0,2025-03-04
10,6,Nadia Iqbal,AB+,21,Female,03111538552,1,2025-07-16
11,11,Saad Iqbal,A+,59,Male,03337637601,1,2025-09-13
12,10,Imran Shah,AB+,34,Male,03468187926,1,2025-07-14
13,11,Qasim Khattak,O+,21,Male,03013564251,0,2024-11-11
14,9,Shahid Ali,B+,42,Male,03468852574,0,2025-02-13
15,2,Usman Hussain,B-,52,Male,03136707197,1,2025-03-28
16,11,Ahmed Baig,AB+,29,Male,03452785277,0,2025-04-02
17,1,Maria Sheikh,B+,28,Female,03459897858,1,2026-02-04
18,4,Faisal Mirza,AB+,37,Male,03111971823,0,2026-01-02
19,3,Zubair Khattak,AB+,22,Male,03453109911,0,2025-09-30
20,9,Junaid Yousaf,AB+,56,Male,03314553384,1,2024-12-23
21,4,Usman Mirza,B+,51,Male,03333030113,1,2025-01-17
22,2,Saad Shah,A+,55,Male,03111120642,1,2026-03-09
23,11,Ali Iqbal,O+,50,Male,03115672073,1,2025-10-11
24,7,Zubair Butt,A-,48,Male,03118935169,1,2024-12-12
25,11,Uzma Mirza,B+,44,Female,03331908841,1,2026-03-24
26,4,Zubair Iqbal,AB-,24,Male,03114214348,1,2025-12-02
27,9,Hamza Baig,B+,33,Male,03018434500,1,2024-09-09
28,8,Aisha Ali,AB-,33,Female,03037818496,1,2025-10-06
29,8,Ali Malik,B+,18,Male,03315449368,1,2025-03-20
